heat_id,grade_id,source,C,Mn,Cr,Mo,Ni,Si,V,Cu,Al,austenitize_T,quench_medium,temper_T,tensile_strength,yield_strength,elongation,reduction_area,impact_J_avg,condition,hardness,split,data_tier,steel_family
emk_EMK0005_0,EMK0005,EMK_spec,0.02,1.0,20.0,6.5,25.0,0.5,0.0,1.0,,1050.0,water,,650.0,295.0,35.0,24.1,37.2,,45.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0007_1,EMK0007,EMK_spec,0.35,0.825,0.3,0.12,0.4,0.225,0.06,0.4,,840.0,water,550.0,485.0,250.0,,30.0,136.4,,70.0,pretrain,emk_spec_verified,carbon_medium
emk_EMK0012_3,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1690.0,1047.8,,12.1,,,65.5,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_4,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1655.0,1026.1,,16.6,,,65.5,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_5,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1620.0,1004.4,,13.0,,,66.5,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_6,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1620.0,1004.4,,18.5,,,66.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_7,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1585.0,982.7,,18.2,,,64.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_8,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1550.0,961.0,,11.6,,,63.8,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_9,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1515.0,939.3,,7.3,,,66.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_10,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1480.0,917.6,,9.5,,,63.1,pretrain,emk_spec_verified,stainless_austenitic
